[2017-04-13 15:20:48]	SQLSTATE[22007]: Invalid datetime format: 1292 Truncated incorrect DOUBLE value: 'favicon.ico'
[2017-04-13 16:36:07]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'spa.Appointmentss' doesn't exist
[2017-04-13 16:36:07]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'spa.Appointmentss' doesn't exist
[2017-04-13 16:39:58]	SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Appointments_Animals.id' in 'where clause'
[2017-04-13 16:39:58]	SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Appointments_Animals.id' in 'where clause'
[2017-04-14 14:36:11]	SQLSTATE[22007]: Invalid datetime format: 1292 Truncated incorrect DOUBLE value: 'favicon.ico'
[2017-04-14 14:36:16]	SQLSTATE[22007]: Invalid datetime format: 1292 Truncated incorrect DOUBLE value: 'favicon.ico'
[2017-04-14 15:47:27]	SQLSTATE[22007]: Invalid datetime format: 1292 Truncated incorrect DOUBLE value: 'favicon.ico'
[2017-04-14 19:35:10]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '()' at line 1
[2017-04-14 19:35:10]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '()' at line 1
[2017-04-14 19:35:15]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '()' at line 1
[2017-04-14 19:35:16]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '()' at line 1
[2017-04-14 19:36:20]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:36:25]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:36:40]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '()' at line 1
[2017-04-14 19:36:40]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '()' at line 1
[2017-04-14 19:37:21]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:37:24]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:37:24]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:37:27]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:37:32]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:37:36]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:37:58]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:40:55]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:41:50]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:41:50]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:48:19]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:48:24]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:48:28]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
[2017-04-14 19:49:43]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-2,2' at line 1
[2017-04-14 19:49:53]	SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-4,4' at line 1
